,Local authority,Region,Estimated jobs,Estimated jobs - local authority and independent sectors only,Estimated jobs - Direct payment recipients only,Estimated jobs - Local authority sector - Percentage,Jobs - local authority sector,Estimated jobs - Independent sector - Percentage,Total CQC regulated establishments,Estimated managerial jobs CSSR,Estimated regulated professionals jobs CSSR,Estimated direct care jobs CSSR,Estimated Other jobs CSSR,Percentage jobs full time (CSSR),Percentage jobs part time (CSSR),Percentage no fixed hours (CSSR),Percentage jobs on zero hours (CSSR),Percentage jobs zero hours (region),Average days sickness (CSSR),Average days sickness (region),Estimate whole sector number of sickness days lost for CSSR,Starters rate (CSSR),Starters rate (region),Proportion recruited from within ASC,Turnover rate (CSSR),Estimated total leavers,Turnover - (region),Exp in Sector - Average - (CSSR),Percentage in ASC 3 yrs or more,Vacancy rate - CSSR,Estimated total vacancies,Vacancy rate - (region),Gender (percentage female),Average age - CSSR,Percentage aged 24 or under - CSSR,Percentage aged 55 or over - CSSR,Nationality - British -CSSR,Nationality - EEA - CSSR,Nationality - non-EEA - CSSR,Nationality - British - Region,Qual - Percentage with - CSSR,Qual - Percentage with - Region,Care Certificate - Percentage,Senior care worker - Average hourly rate (Local authority),Senior care worker - Average hourly rate (Region),Care worker - Average hourly rate (Local authority),Care worker - Average hourly rate (Region),Support and outreach - Average hourly rate (Local authority),Support and outreach - Average hourly rate (Region),E-code,ONS Code,Local Authority (original names),Class,"Employees
 (C1)__27","Running Expenses
 (C2)__27","Total Expenditure
 (C3 = C1 + C2)__27","Sales, Fees and Charges
 (C4)__27","Other Income
 (C5)__26","Total Income
 (C6 = C4 + C5)__27","Net Current Expenditure
 (C7 = C3 - C6)__27"
55,Lewisham,London,8400,7400,1000,4%,371,83%,109,550,500,6900,500,0.462459324,0.259409847,0.278132209,0.463784703,0.390614868,2.301877918,4.121498218,14000,0.317895696,0.388760758,0.71289663,0.195679428,1200,0.272251122,7.345008636,0.729804879,0.104849854,700,0.104663279,0.831001724,44.86218817,0.045714538,0.220302877,0.617358878,0.101968602,0.28067252,0.605826199,0.671674575,0.527171039,0.249215472,9.689322864,9.568243972,8.92300514,8.683570288,10.88485417,9.985444853,E5018,E09000023,Lewisham,L,17790.44139,88389.19561,106179.637,12055.332,14004.484,26059.816,80119.821
56,Liverpool,North West,16000,14500,1700,7%,1094,83%,169,1300,700,12500,1800,0.620413136,0.308321208,0.07126496,0.147016354,0.214671787,6.258074188,5.507111486,84000,0.298511738,0.341105224,0.730290393,0.285870458,3900,0.301673567,8.497837544,0.711820403,0.097080782,1400,0.070555475,0.779857693,43.73216322,0.078912228,0.253864363,0.947021228,0.024994256,0.02798382,0.927907989,0.557288367,0.574447303,0.103933636,8.463923271,8.625317525,7.984167346,7.96388592,8.211306398,8.843358886,E4302,E08000012,Liverpool,MD,41903,178772,220675,13922,42909,56831,163844
57,Luton,Eastern,6300,5000,1300,9%,553,71%,89,450,200,5200,475,0.441995042,0.412752882,0.145252076,0.342350359,0.261152713,3.994333416,4.934628776,18000,0.384465373,0.389379679,0.757328782,0.278220749,1300,0.339015306,7.746985485,0.748544175,0.050981133,250,0.096876067,0.864243975,42.53606574,0.097648182,0.197605009,0.733551158,0.082673407,0.183775435,0.816081532,0.488857089,0.476663883,0.205520073,8.76909908,8.964711058,8.107382107,8.184630706,8.86279653,8.946562533,E0201,E06000032,Luton UA,UA,16563,62601,79164,9863,10647,20510,58654
58,Manchester,North West,10500,9700,850,12%,1275,80%,159,900,475,8100,1100,0.585724194,0.307536466,0.10673934,0.2103585,0.214671787,5.542913673,5.507111486,48000,0.321982972,0.341105224,0.722032775,0.260118183,2300,0.301673567,10.15084837,0.80782633,0.066687376,600,0.070555475,0.76346781,43.91254283,0.068572523,0.236263031,0.854494446,0.044335745,0.101169809,0.927907989,0.603440065,0.574447303,0.059657132,8.68332944,8.625317525,7.998822834,7.96388592,9.340957709,8.843358886,E4203,E08000003,Manchester,MD,33336,158798,192134,22504,25625,48129,144005
59,Merton,London,5300,4700,650,6%,301,82%,83,400,225,4200,500,0.494760139,0.365122184,0.140115505,0.458670802,0.390614868,4.297841983,4.121498218,18000,0.264936371,0.388760758,0.733895437,0.370296406,1500,0.272251122,7.508849663,0.731968906,0.088280071,400,0.104663279,0.811295511,45.31960001,0.061692437,0.267131901,0.608041041,0.133295541,0.258663417,0.605826199,0.549246003,0.527171039,0.201766675,9.978022921,9.568243972,8.471615939,8.683570288,8.924566908,9.985444853,E5044,E09000024,Merton,L,10404.77,60419.5404,70824.3104,10587.6,8884.1,19471.7,51352.6104
60,Middlesbrough,North East,6100,5000,1100,7%,424,75%,65,350,275,4800,700,0.557737905,0.311146446,0.131115648,0.333164688,0.265734674,4.217378278,5.783992399,19500,0.36920173,0.327421339,0.712650601,0.219315047,1000,0.270785038,7.535733717,0.669077892,0.053263825,275,0.071449654,0.866346642,41.97211933,0.100209401,0.212332384,0.962103006,0.003790502,0.034106491,0.958808622,0.562367619,0.611708381,0.239253383,8.73618959,8.558657559,7.869446422,7.887192607,9.036624275,9.235702254,E0702,E06000002,Middlesbrough UA,UA,10542,62828,73370,10611,18638,29249,44121
61,Milton Keynes,South East,6700,6300,425,11%,732,83%,115,550,225,5200,700,0.489133423,0.345877798,0.164990377,0.270030755,0.225662962,7.159231237,4.800241288,41000,0.356328116,0.380447713,0.686202421,0.303680868,1700,0.302660805,8.271595683,0.757746312,0.112313288,700,0.086517489,0.81971681,44.41368281,0.062977551,0.240866193,0.695115635,0.102687392,0.202196973,0.771298639,0.485573572,0.493063744,0.184464855,9.583271031,9.219536233,8.394617576,8.374979322,9.606061657,9.687891049,E0401,E06000042,Milton Keynes UA,UA,22013.5125,58917.57476,80931.08726,8296.71,12255.779,20552.489,60378.59826
62,Newcastle upon Tyne,North East,9900,9200,750,9%,884,84%,106,700,475,7600,1100,0.558717812,0.285025552,0.156256636,0.209578453,0.265734674,5.509291278,5.783992399,46000,0.348936858,0.327421339,0.716836008,0.308079164,2600,0.270785038,9.35291969,0.789698707,0.051520441,450,0.071449654,0.768960794,44.00262181,0.077451687,0.25932568,0.902652063,0.032320954,0.065026983,0.958808622,0.58826843,0.611708381,0.108782449,8.597061607,8.558657559,7.950957231,7.887192607,9.380672913,9.235702254,E4502,E08000021,Newcastle upon Tyne,MD,26469,127472,153941,17722,42078,59800,94141
63,Newham,London,6000,4800,1300,6%,390,73%,81,550,250,4900,400,0.486524064,0.299330751,0.214147277,0.541554724,0.390614868,4.774892461,4.121498218,20000,0.544061524,0.388760758,0.685770557,0.267832482,1100,0.272251122,6.123517396,0.672544465,0.108669451,500,0.104663279,0.788997213,44.0448487,0.055315003,0.205012785,0.605274547,0.105177327,0.289550217,0.605826199,0.474387253,0.527171039,0.183881563,8.573134052,9.568243972,8.345957584,8.683570288,10.14564026,9.985444853,E5045,E09000025,Newham,L,20246,97105,117351,7134,31157,38291,79060
64,North East Lincolnshire,Yorkshire and the Humber,4100,3700,425,0%,2,90%,75,275,75,3200,475,0.526502633,0.382798558,0.090698809,0.079021575,0.196084667,6.497236783,6.029229693,23000,0.34549187,0.366197886,0.752102638,0.228653754,800,0.311660638,9.015698604,0.719588382,0.036108108,125,0.055513416,0.914556764,42.84203858,0.092971047,0.22835448,0.971349094,0.013600735,0.015047447,0.925473709,0.668326799,0.57061915,0.102724779,8.385828591,8.783693196,7.955241354,7.992481685,8.345605023,9.278567484,E2003,E06000012,North East Lincolnshire UA,UA,82,56628,56710,8219,4395,12614,44096
65,North Lincolnshire,Yorkshire and the Humber,4000,3600,450,13%,519,76%,74,325,125,3000,600,0.561614852,0.35347549,0.084906852,0.159919409,0.196084667,6.196790764,6.029229693,21500,0.31151254,0.366197886,0.615688321,0.298079743,1000,0.311660638,9.061172892,0.756279341,0.042582945,150,0.055513416,0.868834656,42.62609894,0.127292931,0.252060376,0.962409538,0.02381253,0.013777931,0.925473709,0.598312975,0.57061915,0.086969332,8.284867626,8.783693196,7.753601273,7.992481685,9.302434055,9.278567484,E2004,E06000013,North Lincolnshire UA,UA,14051.17131,43752.94184,57804.11315,8916.7158,9977.32638,18894.04218,38910.07097
66,North Somerset,South West,6700,6300,375,4%,294,90%,139,550,400,4700,1000,0.50903768,0.440749994,0.050212325,0.147742638,0.18549455,4.012347927,5.168787304,24000,0.438726481,0.399634242,0.730807596,0.39030042,2300,0.33125035,9.036981972,0.721304415,0.045532246,275,0.074857429,0.837730257,43.92835089,0.114628755,0.267400068,0.838129257,0.092020305,0.069850438,0.84586414,0.601836986,0.527590602,0.089909718,8.588813245,8.98543731,8.00117035,8.153112596,9.51885942,8.978998695,E0104,E06000024,North Somerset UA,UA,9772.01629,80630.12519,90402.14148,15289.32538,11433.50652,26722.8319,63679.30958
67,North Tyneside,North East,6100,5700,400,8%,497,85%,76,425,250,4800,700,0.491446071,0.310348412,0.198205516,0.253856713,0.265734674,5.740694341,5.783992399,30000,0.38923774,0.327421339,0.610427529,0.324166502,1700,0.270785038,9.477629745,0.762208004,0.065566065,375,0.071449654,0.817073321,44.11867486,0.091295944,0.266252817,0.950658747,0.015444471,0.033896782,0.958808622,0.641746415,0.611708381,0.075331664,8.738859607,8.558657559,7.814976038,7.887192607,9.996640907,9.235702254,E4503,E08000022,North Tyneside,MD,18752,84419,103171,11602,38278,49880,53291
68,Northumberland,North East,9400,8500,850,6%,536,85%,152,600,325,7300,1100,0.533441976,0.35650982,0.110049386,0.336264641,0.265734674,7.920491887,5.783992399,61000,0.32156502,0.327421339,0.791115962,0.270133247,2100,0.270785038,8.921103048,0.784054571,0.108709779,950,0.071449654,0.816209862,46.14244948,0.082101837,0.33865234,0.956933906,0.023911285,0.019155992,0.958808622,0.686597665,0.611708381,0.110753042,8.720118018,8.558657559,7.904103649,7.887192607,8.150020708,9.235702254,E2901,E06000057,Northumberland UA,UA,27922,101578,129500,24379,23941,48320,81180
69,Nottingham,East Midlands,11000,9300,1700,10%,1131,75%,148,800,350,9000,850,0.519684368,0.366764433,0.113551199,0.246400162,0.234626854,4.610061669,5.712761409,40000,0.476066731,0.389672769,0.5168248,0.427814404,3700,0.330925924,7.462443332,0.730646621,0.052422334,475,0.079713595,0.803594762,42.60217448,0.098432637,0.21435961,0.883314939,0.048173138,0.068511923,0.889602587,0.50452045,0.512233396,0.199544499,9.138108356,8.713392369,8.227863326,8.06466467,9.245562312,9.356293948,E3001,E06000018,Nottingham UA,UA,26446,126213,152659,18110,29377,47487,105172
70,Oldham,North West,6100,5100,950,4%,225,81%,75,425,250,4700,650,0.506459767,0.463585,0.029955233,0.191306161,0.214671787,5.750643511,5.507111486,28000,0.204585628,0.341105224,0.46787657,0.160156886,800,0.301673567,8.636916073,0.721053832,0.060286016,325,0.070555475,0.838317752,43.71854554,0.090688152,0.248883744,0.928534259,0.017156533,0.054309207,0.927907989,0.671211599,0.574447303,0.094677635,8.449282722,8.625317525,7.89213953,7.96388592,8.377318317,8.843358886,E4204,E08000004,Oldham,MD,8070,76895,84965,13012,19361,32373,52592
71,Peterborough,Eastern,6200,5800,400,3%,184,90%,87,450,250,4900,600,0.513608412,0.37507702,0.111314569,0.259150813,0.261152713,2.333427605,4.934628776,12000,0.43070586,0.389379679,0.473575504,0.447461123,2300,0.339015306,5.839064759,0.61271264,0.089516186,500,0.096876067,0.811028706,41.73241737,0.107718289,0.195106838,0.800508894,0.12073571,0.07875366,0.816081532,0.457751527,0.476663883,0.195004435,8.98625228,8.964711058,8.013312161,8.184630706,8.185135737,8.946562533,E0501,E06000031,Peterborough UA,UA,12142,59736,71878,8098,15712,23810,48068
72,Plymouth,South West,6900,6600,350,2%,154,93%,140,600,200,5300,850,0.462335886,0.38614264,0.151521474,0.113759132,0.18549455,3.475832067,5.168787304,21500,0.454908468,0.399634242,0.714392971,0.374971769,2300,0.33125035,8.792843186,0.720533388,0.112634938,800,0.074857429,0.836648478,42.29217386,0.119457901,0.222925135,0.928034381,0.04058736,0.031378258,0.84586414,0.566002622,0.527590602,0.160418377,8.348928857,8.98543731,8.24238635,8.153112596,8.322967058,8.978998695,E1101,E06000026,Plymouth UA,UA,4559,95175,99734,11310,14835,26145,73589
73,Poole,South West,4800,4500,350,8%,377,85%,76,400,225,3600,600,0.53537226,0.374446494,0.090181246,0.184652305,0.18549455,4.338199722,5.168787304,18500,0.474563142,0.399634242,0.688017531,0.326972337,1400,0.33125035,7.99500315,0.745244494,0.091925972,425,0.074857429,0.80899569,42.47717992,0.094029161,0.215000521,0.801497015,0.123409733,0.075093252,0.84586414,0.435392202,0.527590602,0.130563953,8.946055936,8.98543731,8.216500899,8.153112596,9.377868997,8.978998695,E1201,E06000029,Poole UA,UA,11878,45960,57838,8892,6393,15285,42553
74,Portsmouth,South East,4500,4200,325,18%,826,75%,80,375,225,3300,650,0.518140241,0.375610983,0.106251194,0.310779664,0.225662962,6.055835287,4.800241288,23000,0.421635679,0.380447713,0.799125941,0.336359536,1300,0.302660805,7.900382855,0.650852655,0.067967776,275,0.086517489,0.841822803,42.56868526,0.100424937,0.222730384,0.88785483,0.048114387,0.064033202,0.771298639,0.546013887,0.493063744,0.081279793,8.719023458,9.219536233,8.134414618,8.374979322,9.985034408,9.687891049,E1701,E06000044,Portsmouth UA,UA,19041,55932,74973,10648,12498,23146,51827
75,Reading,South East,4100,3900,200,8%,339,87%,81,400,175,3100,375,0.507030257,0.458055788,0.034913955,0.421770591,0.225662962,3.158478278,4.800241288,10000,0.439651208,0.380447713,0.656263679,0.250010032,800,0.302660805,9.0587393,0.761134756,0.158410312,600,0.086517489,0.821055435,43.3943932,0.078340163,0.21324146,0.713766224,0.06882321,0.217407929,0.771298639,0.497961595,0.493063744,0.145541615,9.254044617,9.219536233,8.671411243,8.374979322,10.53799489,9.687891049,E0303,E06000038,Reading UA,UA,10896.54247,46352.21577,57248.75824,7232.165932,9256.38864,16488.55457,40760.20366
76,Redbridge,London,8800,7700,1000,5%,409,83%,136,650,350,7100,700,0.466539044,0.463535219,0.069924446,0.544221542,0.390614868,4.379406417,4.121498218,28000,0.434244655,0.388760758,0.762896632,0.376343778,2400,0.272251122,6.938609411,0.671875706,0.133143024,950,0.104663279,0.812608835,44.08309764,0.064548026,0.212330527,0.521410804,0.130655407,0.347932498,0.605826199,0.680701297,0.527171039,0.203528171,8.943829787,9.568243972,8.072563817,8.683570288,9.547201653,9.985444853,E5046,E09000026,Redbridge,L,14999.4,78255,93254.4,15497.8,10005.2,25503,67751.4
77,Redcar & Cleveland,North East,4100,3400,700,8%,320,75%,73,250,200,3200,475,0.356043658,0.384799016,0.259157326,0.265936278,0.265734674,5.243877033,5.783992399,15500,0.359656462,0.327421339,0.83554785,0.339542823,1000,0.270785038,8.714106579,0.758462652,0.0546333,175,0.071449654,0.899301794,42.09105814,0.128676471,0.21218151,0.971497786,0.007397094,0.021105119,0.958808622,0.697022324,0.611708381,0.187205647,8.462253792,8.558657559,7.698622881,7.887192607,10.43606904,9.235702254,E0703,E06000003,Redcar & Cleveland UA,UA,10621,54451,65072,7495,16417,23912,41160
78,Richmond upon Thames,London,4000,3500,500,8%,300,80%,65,300,175,3100,400,0.471755153,0.451044527,0.07720032,0.349488133,0.390614868,3.633286921,4.121498218,11500,0.458966429,0.388760758,0.654405064,0.247070864,750,0.272251122,7.960292344,0.744523718,0.12552043,450,0.104663279,0.806629052,45.17022412,0.067322808,0.263392449,0.589657074,0.213530038,0.196812888,0.605826199,0.296738268,0.527171039,0.084299505,9.685064781,9.568243972,9.065832696,8.683570288,10.90695849,9.985444853,E5047,E09000027,Richmond upon Thames,L,15199,69289,84488,8028,8643,16671,67817
79,Rochdale,North West,5300,4700,600,6%,338,83%,91,425,200,4100,550,0.535310392,0.362090873,0.102598735,0.177983762,0.214671787,5.495494897,5.507111486,25000,0.418996663,0.341105224,0.718182719,0.33021782,1500,0.301673567,9.167652457,0.78819454,0.036396433,175,0.070555475,0.841549422,43.43276012,0.089167827,0.238003527,0.937559132,0.018041329,0.044401646,0.927907989,0.635877845,0.574447303,0.090387861,8.28422064,8.625317525,7.934339655,7.96388592,8.110423962,8.843358886,E4205,E08000005,Rochdale,MD,9033,68784,77817,11540,13154,24694,53123
80,Rotherham,Yorkshire and the Humber,7600,6900,750,11%,841,79%,131,500,300,6000,750,0.568554126,0.370234674,0.0612112,0.269266348,0.196084667,3.486956131,6.029229693,23500,0.364005962,0.366197886,0.710051672,0.271680985,1800,0.311660638,8.795471729,0.766228223,0.035893577,250,0.055513416,0.869390467,43.59699931,0.104696238,0.250539375,0.968952994,0.012084033,0.018962973,0.925473709,0.561063337,0.57061915,0.143472947,8.641208961,8.783693196,8.021329358,7.992481685,9.580230465,9.278567484,E4403,E08000018,Rotherham,MD,23591,80659,104250,15745,10590,26335,77915
81,Rutland,East Midlands,1200,1100,100,8%,99,84%,23,100,25,900,125,0.557236567,0.391951617,0.050802512,0.086327053,0.234626854,2.027853307,5.712761409,2100,0.502012855,0.389672769,0.555831589,0.303455962,325,0.330925924,9.575017446,0.703093743,0.109969985,125,0.079713595,0.876957432,41.97074669,0.090216329,0.206057223,0.897362177,0.051165387,0.051463131,0.889602587,0.403228658,0.512233396,0.14605257,9.737764903,8.713392369,8.579695646,8.06466467,8.667294118,9.356293948,E2402,E06000017,Rutland UA,UA,4075,9454,13529,1373,1386,2759,10770
82,Salford,North West,5500,4900,600,2%,115,87%,75,400,175,4400,500,0.574112761,0.306184973,0.11970021,0.273261504,0.214671787,3.198918655,5.507111486,14500,0.266782557,0.341105224,0.623162808,0.242242977,1100,0.301673567,8.273092898,0.730190813,0.040366111,200,0.070555475,0.881171608,44.40901633,0.068242382,0.278200436,0.88927088,0.042523749,0.068205371,0.927907989,0.536554674,0.574447303,0.059840852,8.377500895,8.625317525,7.80556098,7.96388592,9.032336383,8.843358886,E4206,E08000006,Salford,MD,17199,73052,90251,14876,25411,40287,49964
83,Sandwell,West Midlands,10500,9200,1200,7%,696,82%,169,800,350,8300,900,0.599139109,0.296165928,0.104694963,0.213051402,0.228483853,7.277260511,4.929270438,62000,0.274966581,0.356604118,0.785630817,0.212292207,1800,0.295452131,8.90350907,0.730603337,0.048169629,425,0.066944312,0.812316693,42.80383067,0.075342804,0.20833219,0.853941436,0.02686692,0.119192742,0.871078776,0.512070144,0.572395799,0.105468514,8.369937521,8.844568308,7.70990135,8.011474827,9.99456025,9.473416934,E4604,E08000028,Sandwell,MD,25735,90881,116616,17090,8526,25616,91000
84,Sefton,North West,9900,8900,1100,4%,352,86%,172,800,475,7400,1200,0.538182835,0.349102781,0.112715512,0.209802113,0.214671787,5.436774776,5.507111486,45000,0.376824895,0.341105224,0.795766757,0.286642001,2400,0.301673567,9.200427473,0.727615734,0.081413949,750,0.070555475,0.806640709,44.11446283,0.097961388,0.279966497,0.932204078,0.046147221,0.021648701,0.927907989,0.539799385,0.574447303,0.091711627,8.378727449,8.625317525,7.798044837,7.96388592,8.26443738,8.843358886,E4304,E08000014,Sefton,MD,11861,115343,127204,18397,14341,32738,94466
85,Sheffield,Yorkshire and the Humber,15500,14000,1500,8%,1180,82%,213,1100,750,11500,1900,0.485278994,0.414309559,0.100410723,0.285574407,0.196084667,4.975036835,6.029229693,65000,0.434166739,0.366197886,0.67064706,0.356540791,4700,0.311660638,8.730949446,0.705123271,0.039879952,550,0.055513416,0.811641565,42.15465917,0.110074701,0.212939469,0.902005634,0.029702202,0.068292163,0.925473709,0.494561747,0.57061915,0.099841784,8.519419593,8.783693196,8.095195393,7.992481685,9.591565278,9.278567484,E4404,E08000019,Sheffield,MD,34501,163072,197573,26036,33060,59096,138477
86,Shropshire,West Midlands,10000,9400,700,5%,546,87%,195,800,550,7400,1400,0.481825691,0.455741971,0.062432339,0.200302826,0.228483853,4.396443833,4.929270438,40000,0.338436452,0.356604118,0.633359382,0.298860585,2700,0.295452131,9.643764241,0.74467961,0.05620221,550,0.066944312,0.826569768,42.85357172,0.121241585,0.252062045,0.924506715,0.04152189,0.033972455,0.871078776,0.577723655,0.572395799,0.135431765,8.588973348,8.844568308,7.908449131,8.011474827,8.753080921,9.473416934,E3202,E06000051,Shropshire UA,UA,14235.99927,114895.739,129131.7383,18047.78321,15262.25576,33310.03897,95821.69931
